FMID,MarketName,Street,City,County,State,zip,x,y,Location,updateTime
1004486,St. Clair Farmers Market,#1 Paul Parks Drive,St. Clair,Franklin,Missouri,63077,-90.987401,38.348942,Local government building grounds,2014-01-04T11:17:00Z
1009078,Hammond Farmers Market,#2 West Thomas Street,Hammond,Tangipahoa,Louisiana,70401,-90.4606927,30.5041981,Local government building grounds,2015-11-04T08:52:29Z
1005734,Schenectady Greenmarket,(Nov - April) 432 State Street / (May - Oct) 105 Jay Street,Schenectady,Schenectady,New York,12305,-73.9397922,42.814295,,2018-03-06T01:00:11Z
1005692,Dolgeville Farmer's Market,(Parking Lot) Between Main St. and Helmer Ave,Dolgeville,Herkimer,New York,13329,-74.7716754,43.1120037,Local government building grounds,2014-12-05T01:21:35Z
1004184,Quincy Farmers Market,0 Denis Ryan Parkway,Quincy,Norfolk,Massachusetts,02169,-71.00002,42.24825,Local government building grounds,2014-02-04T02:41:53Z
1001094,Jefferson City Farmer's Market,000 Main Street,Jefferson City,Cole,Missouri,00000,-92.190459,38.571902,Other,2013-01-06T11:37:07Z
1003488,Cedar Valley Farmers Market,01 railroad street,Murphy,Cherokee,North Carolina,28906,-84.036747,35.085835,Local government building grounds,2014-01-04T10:02:10Z
1012719,"South Fork Farmers, Local Artisan and Antique Market",0168 Four Seasons Drive,South Fork,Rio Grande,Colorado,81154,-106.6160037,37.6734709,,2017-10-07T06:38:25Z
1004275,Farmers Market at Christopher Newport University,1 Avenue of the Arts,Newport News,Newport News,Virginia,23606,-76.493382,37.062506,Educational institution,2013-02-05T11:46:03Z
1003099,Charles Square,"1 Bennett Street,",Cambridge,Middlesex,Massachusetts,02138,-71.1227,42.3723,,2013-07-02T04:34:39Z
1011769,Coxsackie Farmers' Market,1 Betke Boulevard,Coxsackie,Greene,New York,12051,-73.795227,42.352405,,2016-02-02T04:20:32Z
1000290,Otsiningo Park Farmers' Market,1 Bevier St,Binghamton,Broome,New York,13905,-75.9031,42.1265,Local government building grounds,2011-05-05T08:25:08Z
1003845,Hartford Farmers Market,1 Block North of Highway 60 on Rural Street,Hartford,Washington,Wisconsin,53027,-88.381233,43.318122,Local government building grounds,2014-06-04T03:55:56Z
1012362,Seacoast Eat Local Winter Farmers' Market - Exeter High School,1 Blue Hawk Drive,Exeter,Rockingham,New Hampshire,03833,-71.0003126,43.0168516,,2016-08-07T01:52:16Z
1008442,Riverwalk Market Fair,1 Bridge Square,Northfield,Rice,Minnesota,55057,-93.160568,44.456122,Federal/State government building grounds,2015-02-03T11:56:09Z
1005870,Grand Valley State University Farmers Market,"1 Campus Drive, Parking Lot G",Allendale,Ottawa,Michigan,49504,-85.9540218,42.9721861,,2016-07-03T01:31:51Z
1001969,Ringwood Farmers' Market,1 Cannici Drive,Ringwood,Passaic,New Jersey,07456,-74.266367,41.088704,,2017-07-07T01:26:45Z
1008022,Scottdale Farmers Market,1 Centennial Way,Scottdale,Westmoreland,Pennsylvania,15683,-79.586785,40.10148,,2013-01-04T05:11:49Z
1006729,TRAVELERS REST COMMUNITY FARMERS MARKET,1 Center Street,Travelers Rest,Greenville,South Carolina,29690,-82.4436657,34.9676358,Other,2014-05-05T09:56:32Z
1001915,Mendham Natural & Organic Farmers Market,1 Cold Hill Road,Mendham Township,Morris,New Jersey,07926,-74.585186,40.787011,Local government building grounds,2015-10-04T05:19:05Z
1007195,Belington Farmers Market,1 County Highway 11,Belington,Barbour,West Virginia,25250,-79.9357,39.0251,,May 25 2010 11:50AM
1006621,Hillsboro Farmers Market,1 Courthouse Square,Hillsboro,Montgomery,Illinois,62049,-89.493589,39.16114,,2018-04-06T10:37:58Z
1011147,Winchester Clark County Farmers' Market,1 Depot St,Winchester,Clark,Kentucky,40391,-84.174459,37.996158,,2015-09-05T09:19:28Z
