FMID,MostRecentOpeningDate
1000003,2014-10-31
1000008,2017-04-29
1000009,2014-10-11
1000010,
1000011,
1000012,2016-10-14
1000013,2015-11-19
1000016,
1000021,2015-10-31
1000022,
1000023,
1000026,2014-06-21
1000029,
1000030,2014-10-16
1000036,
1000037,2014-11-01
1000043,2013-11-02
1000048,
1000050,
1000051,
1000055,2014-11-22
1000057,2013-11-23
1000058,2013-12-31
1000060,2013-12-21
1000061,2013-12-31
1000062,2013-12-31
1000063,2013-11-24
1000064,2013-12-31
1000065,2013-12-31
1000066,2013-12-31
1000067,2013-12-24
1000069,2013-12-31
1000070,2013-12-31
1000071,2013-11-26
1000072,2013-12-31
1000073,2013-11-27
1000075,2013-08-30
1000076,2013-11-26
1000077,2013-12-22
1000078,2013-12-31
1000079,2013-12-31
1000080,2013-12-31
1000081,2013-12-31
1000082,2013-12-31
1000083,2013-11-27
1000084,2013-11-21
1000085,2013-12-31
1000086,2013-11-20
1000087,2013-12-21
1000088,2013-11-22
1000089,2013-11-26
1000090,2013-11-23
1000093,2013-05-23
1000094,2013-11-23
1000095,2013-11-26
1000096,2013-11-22
1000097,2013-11-22
1000098,2013-11-19
1000099,2013-12-31
1000100,2013-12-31
1000101,2013-11-21
1000104,2013-12-31
1000105,2013-11-16
1000107,2012-10-06
1000108,
1000111,2013-10-15
1000112,2013-10-12
1000113,
1000117,
1000118,2016-03-26
1000119,2013-12-17
1000121,
1000122,
1000123,
1000127,2013-09-27
1000130,2014-12-31
1000133,2014-10-25
1000134,2014-10-08
1000138,2013-11-16
1000141,2013-08-29
1000144,
1000146,2016-11-05
1000151,
1000155,2013-08-31
1000158,2016-11-30
1000159,2013-10-30
1000162,2015-10-09
1000165,
1000166,2012-10-31
1000171,2013-10-19
1000173,2013-10-03
1000175,2017-03-25
1000176,
1000179,
1000180,
1000183,
1000184,2013-10-23
1000186,2015-10-16
1000188,2015-05-02
1000191,2014-10-15
1000192,2013-10-25
1000193,
1000194,2016-10-12
1000197,
1000199,2014-09-08
1000201,
1000202,2013-10-27
1000204,2016-11-05
1000205,2014-09-27
1000206,2015-04-18
1000207,2014-10-30
1000208,2016-10-29
1000210,2016-10-08
1000213,2014-11-26
1000214,
1000217,
1000218,
1000219,
1000225,2016-09-07
1000226,2017-03-11
1000229,
1000232,
1000234,2013-11-30
1000235,2017-04-22
1000236,2017-04-08
1000237,2015-10-31
1000244,2015-11-28
1000249,
1000250,2015-10-17
1000254,2015-03-28
1000255,2014-04-26
1000256,
1000262,2014-10-28
1000263,2016-12-31
1000264,2016-12-31
1000265,2016-12-31
1000266,2014-09-27
1000274,2016-10-15
1000275,
1000276,
1000278,2013-10-13
1000279,2015-06-06
1000283,2013-11-23
1000284,2015-11-21
1000285,
1000290,
1000292,2013-10-27
1000297,
1000298,2014-10-04
1000300,2013-09-24
1000301,2016-11-19
1000302,2014-08-13
1000303,2013-10-02
1000306,
1000307,2014-09-18
1000312,2017-03-25
1000316,2015-06-04
1000323,2016-10-01
1000324,
1000325,2012-12-31
1000326,2015-10-08
1000328,
1000330,
1000334,2014-08-26
1000335,2014-10-06
1000336,
1000342,
1000361,2015-10-09
1000368,2014-10-02
1000371,2014-12-31
1000372,
1000374,
1000379,2016-12-31
1000383,2015-12-31
1000384,2015-10-31
1000387,2014-12-01
1000389,2016-10-06
